date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:02	42910/42910	---M--	200	added ('OK')	image/jpeg	etag:%225e6f791e-a79e%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-1.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-1.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:02	60663/60663	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7922-ecf7%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-3.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-3.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:02	36923/36923	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7924-903b%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-4.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-4.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:02	4659/4659	---M--	200	added ('OK')	image/jpeg	etag:%225e6f791e-1233%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-2-small.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-2-small.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:03	4564/4564	---M--	200	added ('OK')	image/jpeg	etag:%225e6f791d-11d4%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-1-small.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-1-small.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:03	4499/4499	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7920-1193%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-3-small.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-3-small.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:03	4194/4194	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7922-1062%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-4-small.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-4-small.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:04	5922/5922	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7924-1722%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-related-1.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-related-1.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:04	4884/4884	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7924-1314%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-related-2.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-related-2.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
14:00:04	5167/5167	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7925-142f%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-related-3.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-related-3.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
